code,taxon,tvk
1,Platycnemis pennipes,NBNSYS0000005598
1,Pyrrhosoma nymphula,NBNSYS0000005599
3,Ischnura pumilio,NBNSYS0000005601
2,Enallagma cyathigerum,NBNSYS0000005602
3,Coenagrion mercuriale,NBNSYS0000005603
3,Coenagrion scitulum,NBNSYS0000005604
4,Coenagrion pulchellum,NBNSYS0000005605
2,Coenagrion puella,NBNSYS0000005606
3,Coenagrion hastulatum,NBNSYS0000005607
6,Coenagrion armatum,NBNSYS0000005608
3,Coenagrion lunulatum,NBNSYS0000005609
2,Erythromma najas,NBNSYS0000005610
1,Ceriagrion tenellum,NBNSYS0000005611
3,Lestes barbarus,NBNSYS0000005612
2,Lestes sponsa,NBNSYS0000005613
3,Lestes dryas,NBNSYS0000005614
4,Calopteryx virgo,NBNSYS0000005616
4,Calopteryx splendens,NBNSYS0000005617
4,Sympecma fusca,NBNSYS0000005618
1,Gomphus vulgatissimus,NBNSYS0000005620
1,Cordulegaster boltonii,NBNSYS0000005621
2,Brachytron pratense,NBNSYS0000005622
3,Aeshna caerulea,NBNSYS0000005623
1,Aeshna juncea,NBNSYS0000005624
1,Aeshna grandis,NBNSYS0000005625
1,Aeshna cyanea,NBNSYS0000005626
1,Aeshna mixta,NBNSYS0000005627
1,Anax imperator,NBNSYS0000005630
2,Cordulia aenea,NBNSYS0000005632
3,Somatochlora arctica,NBNSYS0000005635
3,Oxygastra curtisii,NBNSYS0000005636
1,Libellula depressa,NBNSYS0000005637
2,Libellula fulva,NBNSYS0000005638
1,Libellula quadrimaculata,NBNSYS0000005639
2,Orthetrum coerulescens,NBNSYS0000005640
2,Orthetrum cancellatum,NBNSYS0000005641
5,Pantala flavescens,NBNSYS0000005642
4,Crocothemis erythraea,NBNSYS0000005643
5,Sympetrum vulgatum,NBNSYS0000005644
1,Sympetrum striolatum,NBNSYS0000005645
6,Sympetrum meridionale,NBNSYS0000005648
3,Sympetrum flaveolum,NBNSYS0000005649
2,Sympetrum sanguineum,NBNSYS0000005650
2,Sympetrum danae,NBNSYS0000005651
5,Anax junius,NHMSYS0000344168
3,Anax parthenope,NHMSYS0000344169
3,Erythromma viridulum,NHMSYS0000344177
1,Ischnura elegans,NHMSYS0000344179
6,Orthetrum brunneum,NHMSYS0000344182
3,Sympetrum fonscolombii,NHMSYS0000344188
3,Sympetrum pedemontanum,NHMSYS0000344190
5,Ischnura genei,NHMSYS0000532361
6,Somatochlora flavomaculata,NHMSYS0000532481
6,Leucorrhinia pectoralis,NHMSYS0000532531
4,Aeshna affinis,NHMSYS0020546806
1,Leucorrhinia dubia,NHMSYS0020546892
3,Somatochlora metallica,NHMSYS0020546972
6,Chalcolestes viridis,NHMSYS0021009068
6,Anaciaeschna isoceles,NHMSYS0021009091
4,Anax ephippiger,NHMSYS0021009098
5,Stylurus flavipes,NHMSYS0021009106
3,Ischnura senegalensis,NHMSYS0021123700
5,Crocothemis servilia,NHMSYS0021123706
