tvk,value_code,taxon
NHMSYS0000377674,1,Anacridium aegyptium
NHMSYS0001387250,1,Anisolabis maritima
NHMSYS0001387264,1,Bacillus rossius
NHMSYS0001387282,1,Carausius morosus
NHMSYS0001387288,1,Chorthippus vagans
NBNSYS0000006813,1,Clitarchus hookeri
NBNSYS0000006818,1,Decticus verrucivorus
NHMSYS0001387304,1,Euborellia annulipes
NHMSYS0001387359,1,Gryllotalpa
NBNSYS0000006830,1,Gryllotalpa gryllotalpa
NHMSYS0001387363,1,Gryllus campestris
NBNSYS0100003439,1,Henschoutedenia flexivitta
NHMSYS0001387398,1,Labidura riparia
NHMSYS0001693174,1,Loboptera decipiens
NHMSYS0000377679,1,Locusta migratoria
NHMSYS0001387415,1,Marava arachidis
NHMSYS0020784602,1,Colapteroblatta nigra
NHMSYS0001387421,1,Nauphoeta cinerea
NHMSYS0020973976,1,Oecanthus pellucens
NBNSYS0100004408,1,Panchlora nivea
NBNSYS0000006852,1,Periplaneta americana
NHMSYS0019998481,1,Phaneroptera falcata
NHMSYS0020973988,1,Pseudomogoplistes vicentae
NBNSYS0000006855,1,Pycnoscelus surinamensis
NHMSYS0000377682,1,Schistocerca gregaria
NBNSYS0000006836,1,Stenobothrus stigmaticus
NBNSYS0000006834,1,Stethophyma grossum
NBNSYS0100005632,1,Supella longipalpa
NHMSYS0001387466,1,Tachycines asynamorus
NHMSYS0020978506,1,Ramulus thaii
NHMSYS0020978404,1,Cosmoderus maculatus
NHMSYS0020784634,1,Euchorthippus elegantulus
NHMSYS0020978458,1,Gryllus assimilis
NHMSYS0020978416,1,Jamaicana subguttata
NHMSYS0020978428,1,Mastophyllum scabricolle
NHMSYS0020978470,1,Hiereoblatta cassidea
NHMSYS0020978482,1,Nyctibora holosericea
NHMSYS0020978488,1,Nyctibora noctivaga
NHMSYS0020978434,1,Locusta cinerascens
NHMSYS0020978368,1,Phaneroptera nana
NHMSYS0020978386,1,Ruspolia nitidula
NHMSYS0020978452,1,Zonocerus variegatus
